# name,address,full hash/reference,specific hash,suffix,gdt,source library,source file,who found it,notes,
#,,,,,,,,,,
# example_new_reversed_function,0xCAFED00D,,,g,,,libgnu.a,me,a multiline comment\nline two\nline three  You can leave the hash fields blank and run this with “output_functions” to generate hashes: $GHIDRA_HOME/support/analyzeHeadless /tmp ahh1 -import X6100_BBFW_V1.1.6_221112001.bin -loader STM32Loader -postScript AssignFunctionNamesAndTypes.py gdt_archives=STM32F427_437xx.gdt functions=functions.csv output_functions,
#,,,,,,,,,,
# flashmemstart / start of bbbootloader,0x08000000,,,g,,,stm32f427zg.pdf#page=86,,based on G90 & STM32,
# start of bbfw / isr_vector table,0x08020000,,,f,,,startup_stm32f427xx.s,fventuri,,
ptr_MasterStackfirmware_base,0x08020000,,,f,,,startup_stm32f427xx.s,,,
ptr_ResetHandler,0x08020004,,,f,,,DUI0553-1.pdf vectormap,,Should lead to main function / Exception #1,
ptr_NMI,0x08020008,,,f,,,DUI0553-1.pdf vectormap,,Exception #2,
ptr_HardFault,0x0802000C,,,f,,,DUI0553-1.pdf vectormap,,Exception #3,
ptr_MemoryManagementFault,0x08020010,,,f,,,DUI0553-1.pdf vectormap,,Exception #4,
ptr_BusFault,0x08020014,,,f,,,DUI0553-1.pdf vectormap,,Exception #5,
ptr_UsageFault,0x08020018,,,f,,,DUI0553-1.pdf vectormap,,Exception #6,
ptr_Reserved,0x0802001C,,,f,,,DUI0553-1.pdf vectormap,,Exception #7-10,
ptr_SVCall,0x0802002C,,,f,,,DUI0553-1.pdf vectormap,,Exception #11,
ptr_ReservedForDebug,0x08020030,,,f,,,DUI0553-1.pdf vectormap,,Exception #12,
ptr_Reserved,0x08020034,,,f,,,DUI0553-1.pdf vectormap,,Exception #13,
ptr_PendSV,0x08020038,,,f,,,DUI0553-1.pdf vectormap,,Exception #14,
ptr_Systick,0x0802003C,,,f,,,DUI0553-1.pdf vectormap,,Exception #15,
ptr_IRQ0,0x08020040,,,f,,,DUI0553-1.pdf vectormap,,Exception #16,
ptr_IRQ1,0x08020044,,,f,,,DUI0553-1.pdf vectormap,,Exception #17,
ptr_IRQ2,0x08020048,,,f,,,DUI0553-1.pdf vectormap,,Exception #18,
checksForSpecial_initParameterMaybe,0x080201d4,0x3f3246219b0f90c2,0x1a03a82fe70f3c62,g,,,,nu,If a nearby dword holds a value then concatenate _init address with a value from SRAM?,
